ID,Wave,Wavedummy,province,district,region,resarea,resarearural,gender,age,agegroup,educstat,educstatgroup,hhsize,hhsizegroup,lifestyle,voteintparty,voteintakp,turnout,vote2015,vote2015akp,turnout2015,workstat,unemployed,selfprosper,socialsupport,supchildeduc,suphealth,suppreg,supsenior,supwidow,supdisable,supdinkind,supother,supreceive,akpchange,persfinance,crisis,hardship,retrospers,retrossocio,prospers,prossocio,headcover,ethnicity,ethnicdummy,religiosity,hhincome,minimumwage,loghhincome,hhincgroup,incomebrac,tvnews,ginip,sedip,ginir,sedir,gdpcap17,lngdpcap17,mosques,lnmosques,mosqdens,metro,residgroup,prospect,yenidene
27,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,34,29-43 Years,Secondary School,Below High School,6,6-8 Persons,Religious Conservative,HDP,No,Yes,HDP,No,Yes,Unemployed,1,Poor,No,No,No,No,No,No,No,No,No,No,Increase,Has to Borrow,Yes,Yes,Completely Agree,Agree,Neutral,Completely Agree,Head Scarf,Kurdish,Kurdish,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,Upto minimum wage
28,032017,Post coup attempt,61,Ortahisar,Eastern Black Sea,Town,Other,Male,53,44+ Years,High School,High School,3,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Making Ends Meet,No,No,Agree,Disagree,Disagree,Neutral,No head cover,Turkish,Others,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,Lower Middle Class,Opposition affiliated,.33199999,2.7149,.33199999,1.5651,8439.1406,9.0406361,2029,7.6152983,3.3699999,Yes,Apartment,Very positive,More than minimum wage
29,032017,Post coup attempt,6,Etimesgut,West Anatolia,Metropolitan,Other,Female,46,29-43 Years,Primary School,Below High School,4,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,MHP,No,Yes,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Has to Borrow,No,No,Agree,Neutral,Completely Disagree,Completely Agree,Head Scarf,Turkish,Others,Religious,5000,More than minimum wage,8.5171928,3001-5000TL,Upper Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,Very positive,More than minimum wage
30,032017,Post coup attempt,65,Erciş,Mideast Anatolia,Town,Other,Female,28,18-28 Years,Illiterate,Below High School,9,More than 9 Persons,Religious Conservative,Non-voter,No,No,HDP,No,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,Yes,Yes,Agree,Agree,Agree,Agree,Head Scarf,Kurdish,Kurdish,Pious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Class,Government affiliated,.37400001,0,.38,0,3859.3647,8.2582579,1408,7.2499256,1.272,Yes,Apartment,Negative,More than minimum wage
31,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Male,53,44+ Years,University,University,3,3-5 Persons,Traditional Conservative,CHP,No,Yes,Did not vote,No,No,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Increase,Has to Borrow,Yes,Yes,Completely Agree,Completely Agree,Agree,Neutral,No head cover,Turkish,Others,Believer,1130,Upto minimum wage,7.029973,701-1200TL,Lower Middle Class,Opposition affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,Upto minimum wage
32,032017,Post coup attempt,34,Sancaktepe,Istanbul,Metropolitan,Other,Female,44,29-43 Years,Primary School,Below High School,4,3-5 Persons,Modern,CHP,No,Yes,CHP,No,Yes,Worker,0,Poor,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,Yes,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,No head cover,Zaza,Others,Religious,2500,More than minimum wage,7.8240461,2001-3000TL,Lower Middle Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,Apartment,Negative,More than minimum wage
33,032017,Post coup attempt,35,Seferihisar,Aegean,Town,Other,Female,34,29-43 Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,Undecided,No,Yes,,,,Self-employed,0,Poor,No,No,No,No,No,No,No,No,No,No,,Has to Borrow,No,Yes,Agree,Agree,Neutral,Neutral,"Hijab, Purdah",Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,New Middle Class,Opposition affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,Apartment,Positive,More than minimum wage
34,032017,Post coup attempt,6,Keçiören,West Anatolia,Metropolitan,Other,Male,51,44+ Years,Primary School,Below High School,4,3-5 Persons,Religious Conservative,Undecided,No,Yes,AKP,Yes,Yes,Retired,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Making Ends Meet,,Yes,Neutral,Disagree,Neutral,Neutral,Head Scarf,Turkish,Others,Believer,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Apartment,,More than minimum wage
35,032017,Post coup attempt,65,Edremit,Mideast Anatolia,Town,Other,Female,49,44+ Years,University,University,10,More than 9 Persons,Modern,Undecided,No,Yes,Voted for Independent,No,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,,No,Agree,Agree,Agree,Agree,No head cover,,,Religious,,More than minimum wage,,,,Opposition affiliated,.37400001,0,.38,0,3859.3647,8.2582579,1408,7.2499256,1.272,Yes,Gated Community,,More than minimum wage
36,032017,Post coup attempt,20,Honaz,Aegean,Rural,Rural,Male,30,18-28 Years,High School,High School,3,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Private Sector,0,Poor,Yes,No,No,No,Yes,No,No,No,No,Yes,Decrease,Has to Borrow,No,Yes,Agree,Agree,Neutral,Neutral,"Hijab, Purdah",Turkish,Others,Religious,1500,More than minimum wage,7.3132205,1201-2000TL,Lower Middle Class,Opposition affiliated,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,"Independent, traditional house",Positive,More than minimum wage
37,032017,Post coup attempt,35,Seferihisar,Aegean,Town,Other,Male,66,44+ Years,Secondary School,Below High School,4,3-5 Persons,Modern,AKP,Yes,Yes,AKP,Yes,Yes,Tradesman,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Completely Disagree,Completely Disagree,Completely Disagree,Completely Disagree,No head cover,Kurdish,Kurdish,Religious,2000,More than minimum wage,7.6009026,1201-2000TL,New Middle Class,Government affiliated,.38499999,5.6837001,.36300001,3.7437999,12343.741,9.4209042,1895,7.5469742,.442,No,,Very positive,More than minimum wage
38,032017,Post coup attempt,55,Çarşamba,Western Black Sea,Town,Other,Male,40,29-43 Years,Graduate,University,4,3-5 Persons,Modern,AKP,Yes,Yes,AKP,Yes,Yes,Civil Servant,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Increase,Saving Money,No,No,Neutral,Neutral,Neutral,Neutral,No head cover,Turkish,Others,Believer,5000,More than minimum wage,8.5171928,3001-5000TL,Upper Class,Government affiliated,.35800001,2.6064999,.34400001,1.7174,7475.147,8.9193392,2712,7.9054418,2.0650001,No,Apartment,Very positive,More than minimum wage
39,032017,Post coup attempt,47,Kiziltepe,Southeast Anatolia,Town,Other,Female,46,29-43 Years,Illiterate,Below High School,9,More than 9 Persons,Religious Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Upper Middle,No,No,No,No,No,No,No,No,Yes,Yes,No Change,Making Ends Meet,No,Yes,Disagree,Disagree,Disagree,Disagree,Head Scarf,Kurdish,Kurdish,Pious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Government affiliated,.352,.032600001,.38,.1532,5415.5615,8.5970316,1156,7.052721,1.427,Yes,"Independent, traditional house",Positive,Upto minimum wage
40,032017,Post coup attempt,6,Etimesgut,West Anatolia,Metropolitan,Other,Male,51,44+ Years,High School,High School,4,3-5 Persons,Traditional Conservative,CHP,No,Yes,MHP,No,Yes,Civil Servant,0,Poor,No,No,No,No,No,No,No,No,No,No,No Change,Barely Makings Ends Meet,Yes,Yes,Completely Agree,Completely Agree,Agree,Agree,Head Scarf,Turkish,Others,Believer,2600,More than minimum wage,7.8632669,2001-3000TL,Lower Middle Class,Government affiliated,.382,7.1546001,.38600001,5.5275002,14253.082,9.5647287,3067,8.0284548,.56300002,No,Gated Community,Negative,More than minimum wage
41,032017,Post coup attempt,20,Pamukkale,Aegean,Metropolitan,Other,Male,57,44+ Years,Primary School,Below High School,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,,,,Retired,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,,Making Ends Meet,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Head Scarf,Turkish,Others,Religious,1200,Upto minimum wage,7.0900769,701-1200TL,Lower Class,,.31799999,3.8864,.36300001,3.7437999,9797.4893,9.1898813,1214,7.101676,1.191,Yes,"Independent, traditional house",Negative,Upto minimum wage
42,032017,Post coup attempt,10,Karesi,West Marmara,Town,Other,Male,41,29-43 Years,Primary School,Below High School,2,1-2 Persons,Traditional Conservative,MHP,No,Yes,MHP,No,Yes,Tradesman,0,Upper Middle,No,No,No,No,No,No,No,No,No,No,Decrease,Saving Money,No,No,Disagree,Disagree,Disagree,Disagree,Head Scarf,Turkish,Others,Believer,15000,More than minimum wage,9.6158056,Higher than 5001TL,Upper Class,Opposition affiliated,.373,3.1468999,.35299999,2.8722999,8805.833,9.0831699,1676,7.4241652,1.391,Yes,Apartment,Very positive,More than minimum wage
43,032017,Post coup attempt,47,Artuklu,Southeast Anatolia,Town,Other,Male,30,18-28 Years,High School,High School,10,More than 9 Persons,Traditional Conservative,Other Parties,No,Yes,Voted Blank (Protest),No,Yes,"Working, Other",0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Saving Money,No,No,Agree,Agree,Agree,Agree,"Hijab, Purdah",Arab,Others,Religious,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Opposition affiliated,.352,.032600001,.38,.1532,5415.5615,8.5970316,1156,7.052721,1.427,Yes,"Independent, traditional house",Very positive,Upto minimum wage
44,032017,Post coup attempt,34,Esenyurt,Istanbul,Metropolitan,Other,Female,36,29-43 Years,University,University,5,3-5 Persons,Traditional Conservative,AKP,Yes,Yes,AKP,Yes,Yes,Housewife,0,Lower Middle,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,No,Yes,Completely Agree,Completely Agree,Completely Agree,Completely Agree,"Hijab, Purdah",Turkish,Others,,1000,Upto minimum wage,6.9077554,701-1200TL,Lower Class,Government affiliated,.39700001,10,.39700001,9.9457998,17827.424,9.7884932,3403,8.1324129,.226,No,,Positive,Upto minimum wage
45,032017,Post coup attempt,60,Turhal,Western Black Sea,Rural,Rural,Male,50,44+ Years,Primary School,Below High School,7,6-8 Persons,Modern,Undecided,No,Yes,MHP,No,Yes,"Farmer, Agriculturalist, Husbandry",0,Upper Middle,No,No,No,No,No,No,No,No,No,No,No Change,Has to Borrow,Yes,Yes,Agree,Agree,Neutral,Neutral,Head Scarf,Turkish,Others,Believer,3000,More than minimum wage,8.0063677,2001-3000TL,New Middle Class,Opposition affiliated,.35800001,1.6903,.34400001,1.7174,5528.8438,8.617734,1172,7.0664668,1.946,No,"Independent, traditional house",Negative,More than minimum wage
